,Month,City,Continent,Breakfast_Basket_USD
235,2025-11,Chicago,North America,14.52
236,2025-12,Chicago,North America,14.86
237,2026-01,Chicago,North America,14.64
238,2026-02,Chicago,North America,14.83
239,2026-03,Chicago,North America,14.89
240,2025-10,Chicago,North America,14.49
241,2025-11,Chicago,North America,14.52
242,2025-12,Chicago,North America,14.86
243,2026-01,Chicago,North America,14.64
244,2026-02,Chicago,North America,14.83
245,2026-03,Chicago,North America,14.89
246,2025-10,Chicago,North America,14.49
247,2025-11,Chicago,North America,14.52
248,2025-12,Chicago,North America,14.86
249,2026-01,Chicago,North America,14.64
250,2026-02,Chicago,North America,14.83
251,2026-03,Chicago,North America,14.89
252,2025-10,Houston,North America,13.55
253,2025-11,Houston,North America,13.71
254,2025-12,Houston,North America,13.99
255,2026-01,Houston,North America,13.99
256,2026-02,Houston,North America,14.11
257,2026-03,Houston,North America,14.2
258,2025-10,Houston,North America,13.55
259,2025-11,Houston,North America,13.71
260,2025-12,Houston,North America,13.99
261,2026-01,Houston,North America,13.99
262,2026-02,Houston,North America,14.11
263,2026-03,Houston,North America,14.2
264,2025-10,Houston,North America,13.55
265,2025-11,Houston,North America,13.71
266,2025-12,Houston,North America,13.99
267,2026-01,Houston,North America,13.99
268,2026-02,Houston,North America,14.11
269,2026-03,Houston,North America,14.2
270,2025-10,Houston,North America,13.55
271,2025-11,Houston,North America,13.71
272,2025-12,Houston,North America,13.99
273,2026-01,Houston,North America,13.99
274,2026-02,Houston,North America,14.11
275,2026-03,Houston,North America,14.2
276,2025-10,Houston,North America,13.55
277,2025-11,Houston,North America,13.71
278,2025-12,Houston,North America,13.99
279,2026-01,Houston,North America,13.99
280,2026-02,Houston,North America,14.11
281,2026-03,Houston,North America,14.2
282,2025-10,Houston,North America,13.55
283,2025-11,Houston,North America,13.71
284,2025-12,Houston,North America,13.99
285,2026-01,Houston,North America,13.99
286,2026-02,Houston,North America,14.11
287,2026-03,Houston,North America,14.2
288,2025-10,Houston,North America,13.55
289,2025-11,Houston,North America,13.71
290,2025-12,Houston,North America,13.99
291,2026-01,Houston,North America,13.99
292,2026-02,Houston,North America,14.11
293,2026-03,Houston,North America,14.2
294,2025-10,Houston,North America,13.55
295,2025-11,Houston,North America,13.71
296,2025-12,Houston,North America,13.99
297,2026-01,Houston,North America,13.99
298,2026-02,Houston,North America,14.11
299,2026-03,Houston,North America,14.2
300,2025-10,Houston,North America,13.55
301,2025-11,Houston,North America,13.71
302,2025-12,Houston,North America,13.99
303,2026-01,Houston,North America,13.99
304,2026-02,Houston,North America,14.11
305,2026-03,Houston,North America,14.2
306,2025-10,Houston,North America,13.55
307,2025-11,Houston,North America,13.71
308,2025-12,Houston,North America,13.99
309,2026-01,Houston,North America,13.99
310,2026-02,Houston,North America,14.11
311,2026-03,Houston,North America,14.2
312,2025-10,Houston,North America,13.55
313,2025-11,Houston,North America,13.71
314,2025-12,Houston,North America,13.99
315,2026-01,Houston,North America,13.99
316,2026-02,Houston,North America,14.11
317,2026-03,Houston,North America,14.2
318,2025-10,Houston,North America,13.55
319,2025-11,Houston,North America,13.71
320,2025-12,Houston,North America,13.99
321,2026-01,Houston,North America,13.99
322,2026-02,Houston,North America,14.11
323,2026-03,Houston,North America,14.2
324,2025-10,Houston,North America,13.55
325,2025-11,Houston,North America,13.71
326,2025-12,Houston,North America,13.99
327,2026-01,Houston,North America,13.99
328,2026-02,Houston,North America,14.11
329,2026-03,Houston,North America,14.2
330,2025-10,Houston,North America,13.55
331,2025-11,Houston,North America,13.71
332,2025-12,Houston,North America,13.99
333,2026-01,Houston,North America,13.99
334,2026-02,Houston,North America,14.11
335,2026-03,Houston,North America,14.2
336,2025-10,Toronto,North America,19.63
337,2025-11,Toronto,North America,19.58
338,2025-12,Toronto,North America,19.92
339,2026-01,Toronto,North America,19.58
340,2026-02,Toronto,North America,20.04
341,2026-03,Toronto,North America,20.07
342,2025-10,Toronto,North America,19.63
343,2025-11,Toronto,North America,19.58
344,2025-12,Toronto,North America,19.92
345,2026-01,Toronto,North America,19.58
346,2026-02,Toronto,North America,20.04
347,2026-03,Toronto,North America,20.07
348,2025-10,Toronto,North America,19.63
349,2025-11,Toronto,North America,19.58
350,2025-12,Toronto,North America,19.92
351,2026-01,Toronto,North America,19.58
352,2026-02,Toronto,North America,20.04
353,2026-03,Toronto,North America,20.07
354,2025-10,Toronto,North America,19.63
355,2025-11,Toronto,North America,19.58
356,2025-12,Toronto,North America,19.92
357,2026-01,Toronto,North America,19.58
358,2026-02,Toronto,North America,20.04
359,2026-03,Toronto,North America,20.07
360,2025-10,Toronto,North America,19.63
361,2025-11,Toronto,North America,19.58
362,2025-12,Toronto,North America,19.92
363,2026-01,Toronto,North America,19.58
364,2026-02,Toronto,North America,20.04
365,2026-03,Toronto,North America,20.07
366,2025-10,Toronto,North America,19.63
367,2025-11,Toronto,North America,19.58
368,2025-12,Toronto,North America,19.92
369,2026-01,Toronto,North America,19.58
370,2026-02,Toronto,North America,20.04
371,2026-03,Toronto,North America,20.07
372,2025-10,Toronto,North America,19.63
373,2025-11,Toronto,North America,19.58
374,2025-12,Toronto,North America,19.92
375,2026-01,Toronto,North America,19.58
376,2026-02,Toronto,North America,20.04
377,2026-03,Toronto,North America,20.07
378,2025-10,Toronto,North America,19.63
379,2025-11,Toronto,North America,19.58
380,2025-12,Toronto,North America,19.92
381,2026-01,Toronto,North America,19.58
382,2026-02,Toronto,North America,20.04
383,2026-03,Toronto,North America,20.07
384,2025-10,Toronto,North America,19.63
385,2025-11,Toronto,North America,19.58
386,2025-12,Toronto,North America,19.92
387,2026-01,Toronto,North America,19.58
388,2026-02,Toronto,North America,20.04
389,2026-03,Toronto,North America,20.07
390,2025-10,Toronto,North America,19.63
391,2025-11,Toronto,North America,19.58
392,2025-12,Toronto,North America,19.92
393,2026-01,Toronto,North America,19.58
394,2026-02,Toronto,North America,20.04
395,2026-03,Toronto,North America,20.07
396,2025-10,Toronto,North America,19.63
397,2025-11,Toronto,North America,19.58
398,2025-12,Toronto,North America,19.92
399,2026-01,Toronto,North America,19.58
400,2026-02,Toronto,North America,20.04
401,2026-03,Toronto,North America,20.07
402,2025-10,Toronto,North America,19.63
403,2025-11,Toronto,North America,19.58
404,2025-12,Toronto,North America,19.92
405,2026-01,Toronto,North America,19.58
406,2026-02,Toronto,North America,20.04
407,2026-03,Toronto,North America,20.07
408,2025-10,Toronto,North America,19.63
409,2025-11,Toronto,North America,19.58
410,2025-12,Toronto,North America,19.92
411,2026-01,Toronto,North America,19.58
412,2026-02,Toronto,North America,20.04
413,2026-03,Toronto,North America,20.07
414,2025-10,Toronto,North America,19.63
415,2025-11,Toronto,North America,19.58
416,2025-12,Toronto,North America,19.92
417,2026-01,Toronto,North America,19.58
418,2026-02,Toronto,North America,20.04
419,2026-03,Toronto,North America,20.07
420,2025-10,Vancouver,North America,19.55
421,2025-11,Vancouver,North America,20.17
422,2025-12,Vancouver,North America,20.41
423,2026-01,Vancouver,North America,20.52
424,2026-02,Vancouver,North America,20.55
425,2026-03,Vancouver,North America,20.61
426,2025-10,Vancouver,North America,19.55
427,2025-11,Vancouver,North America,20.17
428,2025-12,Vancouver,North America,20.41
429,2026-01,Vancouver,North America,20.52
430,2026-02,Vancouver,North America,20.55
431,2026-03,Vancouver,North America,20.61
432,2025-10,Vancouver,North America,19.55
433,2025-11,Vancouver,North America,20.17
434,2025-12,Vancouver,North America,20.41
435,2026-01,Vancouver,North America,20.52
436,2026-02,Vancouver,North America,20.55
437,2026-03,Vancouver,North America,20.61
438,2025-10,Vancouver,North America,19.55
439,2025-11,Vancouver,North America,20.17
440,2025-12,Vancouver,North America,20.41
441,2026-01,Vancouver,North America,20.52
442,2026-02,Vancouver,North America,20.55
443,2026-03,Vancouver,North America,20.61
444,2025-10,Vancouver,North America,19.55
445,2025-11,Vancouver,North America,20.17
446,2025-12,Vancouver,North America,20.41
447,2026-01,Vancouver,North America,20.52
448,2026-02,Vancouver,North America,20.55
449,2026-03,Vancouver,North America,20.61
450,2025-10,Vancouver,North America,19.55
451,2025-11,Vancouver,North America,20.17
452,2025-12,Vancouver,North America,20.41
453,2026-01,Vancouver,North America,20.52
454,2026-02,Vancouver,North America,20.55
455,2026-03,Vancouver,North America,20.61
456,2025-10,Vancouver,North America,19.55
457,2025-11,Vancouver,North America,20.17
458,2025-12,Vancouver,North America,20.41
459,2026-01,Vancouver,North America,20.52
460,2026-02,Vancouver,North America,20.55
461,2026-03,Vancouver,North America,20.61
462,2025-10,Vancouver,North America,19.55
463,2025-11,Vancouver,North America,20.17
464,2025-12,Vancouver,North America,20.41
465,2026-01,Vancouver,North America,20.52
466,2026-02,Vancouver,North America,20.55
467,2026-03,Vancouver,North America,20.61
468,2025-10,Vancouver,North America,19.55
469,2025-11,Vancouver,North America,20.17
470,2025-12,Vancouver,North America,20.41
471,2026-01,Vancouver,North America,20.52
472,2026-02,Vancouver,North America,20.55
473,2026-03,Vancouver,North America,20.61
474,2025-10,Vancouver,North America,19.55
475,2025-11,Vancouver,North America,20.17
476,2025-12,Vancouver,North America,20.41
477,2026-01,Vancouver,North America,20.52
478,2026-02,Vancouver,North America,20.55
479,2026-03,Vancouver,North America,20.61
480,2025-10,Vancouver,North America,19.55
481,2025-11,Vancouver,North America,20.17
482,2025-12,Vancouver,North America,20.41
483,2026-01,Vancouver,North America,20.52
484,2026-02,Vancouver,North America,20.55
485,2026-03,Vancouver,North America,20.61
486,2025-10,Vancouver,North America,19.55
487,2025-11,Vancouver,North America,20.17
488,2025-12,Vancouver,North America,20.41
489,2026-01,Vancouver,North America,20.52
490,2026-02,Vancouver,North America,20.55
491,2026-03,Vancouver,North America,20.61
492,2025-10,Vancouver,North America,19.55
493,2025-11,Vancouver,North America,20.17
494,2025-12,Vancouver,North America,20.41
495,2026-01,Vancouver,North America,20.52
496,2026-02,Vancouver,North America,20.55
497,2026-03,Vancouver,North America,20.61
498,2025-10,Vancouver,North America,19.55
499,2025-11,Vancouver,North America,20.17
500,2025-12,Vancouver,North America,20.41
501,2026-01,Vancouver,North America,20.52
502,2026-02,Vancouver,North America,20.55
503,2026-03,Vancouver,North America,20.61
504,2025-10,Montreal,North America,18.45
505,2025-11,Montreal,North America,18.88
506,2025-12,Montreal,North America,19.58
507,2026-01,Montreal,North America,18.99
508,2026-02,Montreal,North America,19.47
509,2026-03,Montreal,North America,19.35
510,2025-10,Montreal,North America,18.45
511,2025-11,Montreal,North America,18.88
512,2025-12,Montreal,North America,19.58
513,2026-01,Montreal,North America,18.99
514,2026-02,Montreal,North America,19.47
515,2026-03,Montreal,North America,19.35
516,2025-10,Montreal,North America,18.45
517,2025-11,Montreal,North America,18.88
518,2025-12,Montreal,North America,19.58
519,2026-01,Montreal,North America,18.99
520,2026-02,Montreal,North America,19.47
521,2026-03,Montreal,North America,19.35
522,2025-10,Montreal,North America,18.45
523,2025-11,Montreal,North America,18.88
524,2025-12,Montreal,North America,19.58
525,2026-01,Montreal,North America,18.99
526,2026-02,Montreal,North America,19.47
527,2026-03,Montreal,North America,19.35
528,2025-10,Montreal,North America,18.45
529,2025-11,Montreal,North America,18.88
530,2025-12,Montreal,North America,19.58
531,2026-01,Montreal,North America,18.99
532,2026-02,Montreal,North America,19.47
533,2026-03,Montreal,North America,19.35
534,2025-10,Montreal,North America,18.45
535,2025-11,Montreal,North America,18.88
536,2025-12,Montreal,North America,19.58
537,2026-01,Montreal,North America,18.99
538,2026-02,Montreal,North America,19.47
539,2026-03,Montreal,North America,19.35
540,2025-10,Montreal,North America,18.45
541,2025-11,Montreal,North America,18.88
542,2025-12,Montreal,North America,19.58
543,2026-01,Montreal,North America,18.99
544,2026-02,Montreal,North America,19.47
545,2026-03,Montreal,North America,19.35
546,2025-10,Montreal,North America,18.45
547,2025-11,Montreal,North America,18.88
548,2025-12,Montreal,North America,19.58
549,2026-01,Montreal,North America,18.99
550,2026-02,Montreal,North America,19.47
551,2026-03,Montreal,North America,19.35
552,2025-10,Montreal,North America,18.45
553,2025-11,Montreal,North America,18.88
554,2025-12,Montreal,North America,19.58
555,2026-01,Montreal,North America,18.99
556,2026-02,Montreal,North America,19.47
557,2026-03,Montreal,North America,19.35
558,2025-10,Montreal,North America,18.45
559,2025-11,Montreal,North America,18.88
560,2025-12,Montreal,North America,19.58
561,2026-01,Montreal,North America,18.99
562,2026-02,Montreal,North America,19.47
563,2026-03,Montreal,North America,19.35
564,2025-10,Montreal,North America,18.45
565,2025-11,Montreal,North America,18.88
566,2025-12,Montreal,North America,19.58
567,2026-01,Montreal,North America,18.99
568,2026-02,Montreal,North America,19.47
569,2026-03,Montreal,North America,19.35
570,2025-10,Montreal,North America,18.45
571,2025-11,Montreal,North America,18.88
572,2025-12,Montreal,North America,19.58
573,2026-01,Montreal,North America,18.99
574,2026-02,Montreal,North America,19.47
575,2026-03,Montreal,North America,19.35
576,2025-10,Montreal,North America,18.45
577,2025-11,Montreal,North America,18.88
578,2025-12,Montreal,North America,19.58
579,2026-01,Montreal,North America,18.99
580,2026-02,Montreal,North America,19.47
581,2026-03,Montreal,North America,19.35
582,2025-10,Montreal,North America,18.45
583,2025-11,Montreal,North America,18.88
584,2025-12,Montreal,North America,19.58
585,2026-01,Montreal,North America,18.99
586,2026-02,Montreal,North America,19.47
587,2026-03,Montreal,North America,19.35
588,2025-10,Mexico City,North America,9.83
589,2025-11,Mexico City,North America,10.06
590,2025-12,Mexico City,North America,10.23
591,2026-01,Mexico City,North America,10.1
592,2026-02,Mexico City,North America,10.39
593,2026-03,Mexico City,North America,10.23
594,2025-10,Mexico City,North America,9.83
595,2025-11,Mexico City,North America,10.06
596,2025-12,Mexico City,North America,10.23
597,2026-01,Mexico City,North America,10.1
598,2026-02,Mexico City,North America,10.39
599,2026-03,Mexico City,North America,10.23
600,2025-10,Mexico City,North America,9.83
601,2025-11,Mexico City,North America,10.06
602,2025-12,Mexico City,North America,10.23
603,2026-01,Mexico City,North America,10.1
604,2026-02,Mexico City,North America,10.39
605,2026-03,Mexico City,North America,10.23
606,2025-10,Mexico City,North America,9.83
607,2025-11,Mexico City,North America,10.06
608,2025-12,Mexico City,North America,10.23
609,2026-01,Mexico City,North America,10.1
610,2026-02,Mexico City,North America,10.39
611,2026-03,Mexico City,North America,10.23
612,2025-10,Mexico City,North America,9.83
613,2025-11,Mexico City,North America,10.06
614,2025-12,Mexico City,North America,10.23
615,2026-01,Mexico City,North America,10.1
616,2026-02,Mexico City,North America,10.39
617,2026-03,Mexico City,North America,10.23
618,2025-10,Mexico City,North America,9.83
619,2025-11,Mexico City,North America,10.06
620,2025-12,Mexico City,North America,10.23
621,2026-01,Mexico City,North America,10.1
622,2026-02,Mexico City,North America,10.39
623,2026-03,Mexico City,North America,10.23
624,2025-10,Mexico City,North America,9.83
625,2025-11,Mexico City,North America,10.06
626,2025-12,Mexico City,North America,10.23
627,2026-01,Mexico City,North America,10.1
628,2026-02,Mexico City,North America,10.39
629,2026-03,Mexico City,North America,10.23
630,2025-10,Mexico City,North America,9.83
631,2025-11,Mexico City,North America,10.06
632,2025-12,Mexico City,North America,10.23
633,2026-01,Mexico City,North America,10.1
634,2026-02,Mexico City,North America,10.39
635,2026-03,Mexico City,North America,10.23
636,2025-10,Mexico City,North America,9.83
637,2025-11,Mexico City,North America,10.06
638,2025-12,Mexico City,North America,10.23
639,2026-01,Mexico City,North America,10.1
640,2026-02,Mexico City,North America,10.39
641,2026-03,Mexico City,North America,10.23
642,2025-10,Mexico City,North America,9.83
643,2025-11,Mexico City,North America,10.06
644,2025-12,Mexico City,North America,10.23
645,2026-01,Mexico City,North America,10.1
646,2026-02,Mexico City,North America,10.39
647,2026-03,Mexico City,North America,10.23
648,2025-10,Mexico City,North America,9.83
649,2025-11,Mexico City,North America,10.06
650,2025-12,Mexico City,North America,10.23
651,2026-01,Mexico City,North America,10.1
652,2026-02,Mexico City,North America,10.39
653,2026-03,Mexico City,North America,10.23
654,2025-10,Mexico City,North America,9.83
655,2025-11,Mexico City,North America,10.06
656,2025-12,Mexico City,North America,10.23
657,2026-01,Mexico City,North America,10.1
658,2026-02,Mexico City,North America,10.39
659,2026-03,Mexico City,North America,10.23
660,2025-10,Mexico City,North America,9.83
661,2025-11,Mexico City,North America,10.06
662,2025-12,Mexico City,North America,10.23
663,2026-01,Mexico City,North America,10.1
664,2026-02,Mexico City,North America,10.39
665,2026-03,Mexico City,North America,10.23
666,2025-10,Mexico City,North America,9.83
667,2025-11,Mexico City,North America,10.06
668,2025-12,Mexico City,North America,10.23
669,2026-01,Mexico City,North America,10.1
670,2026-02,Mexico City,North America,10.39
671,2026-03,Mexico City,North America,10.23
672,2025-10,Guadalajara,North America,9.25
673,2025-11,Guadalajara,North America,9.62
674,2025-12,Guadalajara,North America,9.59
675,2026-01,Guadalajara,North America,9.53
676,2026-02,Guadalajara,North America,9.86
677,2026-03,Guadalajara,North America,9.76
678,2025-10,Guadalajara,North America,9.25
679,2025-11,Guadalajara,North America,9.62
680,2025-12,Guadalajara,North America,9.59
681,2026-01,Guadalajara,North America,9.53
682,2026-02,Guadalajara,North America,9.86
683,2026-03,Guadalajara,North America,9.76
684,2025-10,Guadalajara,North America,9.25
685,2025-11,Guadalajara,North America,9.62
686,2025-12,Guadalajara,North America,9.59
687,2026-01,Guadalajara,North America,9.53
688,2026-02,Guadalajara,North America,9.86
689,2026-03,Guadalajara,North America,9.76
690,2025-10,Guadalajara,North America,9.25
691,2025-11,Guadalajara,North America,9.62
692,2025-12,Guadalajara,North America,9.59
693,2026-01,Guadalajara,North America,9.53
694,2026-02,Guadalajara,North America,9.86
695,2026-03,Guadalajara,North America,9.76
696,2025-10,Guadalajara,North America,9.25
697,2025-11,Guadalajara,North America,9.62
698,2025-12,Guadalajara,North America,9.59
699,2026-01,Guadalajara,North America,9.53
700,2026-02,Guadalajara,North America,9.86
701,2026-03,Guadalajara,North America,9.76
702,2025-10,Guadalajara,North America,9.25
703,2025-11,Guadalajara,North America,9.62
704,2025-12,Guadalajara,North America,9.59
705,2026-01,Guadalajara,North America,9.53
706,2026-02,Guadalajara,North America,9.86
707,2026-03,Guadalajara,North America,9.76
708,2025-10,Guadalajara,North America,9.25
709,2025-11,Guadalajara,North America,9.62
710,2025-12,Guadalajara,North America,9.59
711,2026-01,Guadalajara,North America,9.53
712,2026-02,Guadalajara,North America,9.86
713,2026-03,Guadalajara,North America,9.76
714,2025-10,Guadalajara,North America,9.25
715,2025-11,Guadalajara,North America,9.62
716,2025-12,Guadalajara,North America,9.59
717,2026-01,Guadalajara,North America,9.53
718,2026-02,Guadalajara,North America,9.86
719,2026-03,Guadalajara,North America,9.76
720,2025-10,Guadalajara,North America,9.25
721,2025-11,Guadalajara,North America,9.62
722,2025-12,Guadalajara,North America,9.59
723,2026-01,Guadalajara,North America,9.53
